,image,atributes,categories
0,18_DRIONS-DB/images/image_026.jpg,[],"['no cataract', 'a disease']"
1,18_DRIONS-DB/images/image_072.jpg,[],"['no cataract', 'a disease']"
2,18_DRIONS-DB/images/image_056.jpg,[],"['no cataract', 'a disease']"
3,18_DRIONS-DB/images/image_029.jpg,[],"['no cataract', 'a disease']"
4,18_DRIONS-DB/images/image_019.jpg,[],"['no cataract', 'a disease']"
5,18_DRIONS-DB/images/image_004.jpg,[],"['no cataract', 'a disease']"
6,18_DRIONS-DB/images/image_012.jpg,[],"['no cataract', 'a disease']"
7,18_DRIONS-DB/images/image_053.jpg,[],"['no cataract', 'a disease']"
8,18_DRIONS-DB/images/image_101.jpg,[],"['no cataract', 'a disease']"
9,18_DRIONS-DB/images/image_104.jpg,[],"['no cataract', 'a disease']"
10,18_DRIONS-DB/images/image_035.jpg,[],"['no cataract', 'a disease']"
11,18_DRIONS-DB/images/image_093.jpg,[],"['no cataract', 'a disease']"
12,18_DRIONS-DB/images/image_109.jpg,[],"['no cataract', 'a disease']"
13,18_DRIONS-DB/images/image_108.jpg,[],"['no cataract', 'a disease']"
14,18_DRIONS-DB/images/image_016.jpg,[],"['no cataract', 'a disease']"
15,18_DRIONS-DB/images/image_021.jpg,[],"['no cataract', 'a disease']"
16,18_DRIONS-DB/images/image_094.jpg,[],"['no cataract', 'a disease']"
17,18_DRIONS-DB/images/image_089.jpg,[],"['no cataract', 'a disease']"
18,18_DRIONS-DB/images/image_096.jpg,[],"['no cataract', 'a disease']"
19,18_DRIONS-DB/images/image_003.jpg,[],"['no cataract', 'a disease']"
20,18_DRIONS-DB/images/image_092.jpg,[],"['no cataract', 'a disease']"
21,18_DRIONS-DB/images/image_097.jpg,[],"['no cataract', 'a disease']"
22,18_DRIONS-DB/images/image_005.jpg,[],"['no cataract', 'a disease']"
23,18_DRIONS-DB/images/image_087.jpg,[],"['no cataract', 'a disease']"
24,18_DRIONS-DB/images/image_083.jpg,[],"['no cataract', 'a disease']"
25,18_DRIONS-DB/images/image_075.jpg,[],"['no cataract', 'a disease']"
26,18_DRIONS-DB/images/image_076.jpg,[],"['no cataract', 'a disease']"
27,18_DRIONS-DB/images/image_015.jpg,[],"['no cataract', 'a disease']"
28,18_DRIONS-DB/images/image_011.jpg,[],"['no cataract', 'a disease']"
29,18_DRIONS-DB/images/image_013.jpg,[],"['no cataract', 'a disease']"
30,18_DRIONS-DB/images/image_007.jpg,[],"['no cataract', 'a disease']"
31,18_DRIONS-DB/images/image_077.jpg,[],"['no cataract', 'a disease']"
32,18_DRIONS-DB/images/image_018.jpg,[],"['no cataract', 'a disease']"
33,18_DRIONS-DB/images/image_070.jpg,[],"['no cataract', 'a disease']"
34,18_DRIONS-DB/images/image_106.jpg,[],"['no cataract', 'a disease']"
35,18_DRIONS-DB/images/image_028.jpg,[],"['no cataract', 'a disease']"
36,18_DRIONS-DB/images/image_060.jpg,[],"['no cataract', 'a disease']"
37,18_DRIONS-DB/images/image_107.jpg,[],"['no cataract', 'a disease']"
38,18_DRIONS-DB/images/image_067.jpg,[],"['no cataract', 'a disease']"
39,18_DRIONS-DB/images/image_068.jpg,[],"['no cataract', 'a disease']"
40,18_DRIONS-DB/images/image_032.jpg,[],"['no cataract', 'a disease']"
41,18_DRIONS-DB/images/image_024.jpg,[],"['no cataract', 'a disease']"
42,18_DRIONS-DB/images/image_071.jpg,[],"['no cataract', 'a disease']"
43,18_DRIONS-DB/images/image_062.jpg,[],"['no cataract', 'a disease']"
44,18_DRIONS-DB/images/image_009.jpg,[],"['no cataract', 'a disease']"
45,18_DRIONS-DB/images/image_040.jpg,[],"['no cataract', 'a disease']"
46,18_DRIONS-DB/images/image_085.jpg,[],"['no cataract', 'a disease']"
47,18_DRIONS-DB/images/image_095.jpg,[],"['no cataract', 'a disease']"
48,18_DRIONS-DB/images/image_006.jpg,[],"['no cataract', 'a disease']"
49,18_DRIONS-DB/images/image_052.jpg,[],"['no cataract', 'a disease']"
50,18_DRIONS-DB/images/image_022.jpg,[],"['no cataract', 'a disease']"
51,18_DRIONS-DB/images/image_082.jpg,[],"['no cataract', 'a disease']"
52,18_DRIONS-DB/images/image_027.jpg,[],"['no cataract', 'a disease']"
53,18_DRIONS-DB/images/image_073.jpg,[],"['no cataract', 'a disease']"
54,18_DRIONS-DB/images/image_025.jpg,[],"['no cataract', 'a disease']"
55,18_DRIONS-DB/images/image_065.jpg,[],"['no cataract', 'a disease']"
56,18_DRIONS-DB/images/image_059.jpg,[],"['no cataract', 'a disease']"
57,18_DRIONS-DB/images/image_034.jpg,[],"['no cataract', 'a disease']"
58,18_DRIONS-DB/images/image_031.jpg,[],"['no cataract', 'a disease']"
59,18_DRIONS-DB/images/image_084.jpg,[],"['no cataract', 'a disease']"
60,18_DRIONS-DB/images/image_050.jpg,[],"['no cataract', 'a disease']"
61,18_DRIONS-DB/images/image_080.jpg,[],"['no cataract', 'a disease']"
62,18_DRIONS-DB/images/image_054.jpg,[],"['no cataract', 'a disease']"
63,18_DRIONS-DB/images/image_055.jpg,[],"['no cataract', 'a disease']"
64,18_DRIONS-DB/images/image_044.jpg,[],"['no cataract', 'a disease']"
65,18_DRIONS-DB/images/image_038.jpg,[],"['no cataract', 'a disease']"
66,18_DRIONS-DB/images/image_103.jpg,[],"['no cataract', 'a disease']"
67,18_DRIONS-DB/images/image_017.jpg,[],"['no cataract', 'a disease']"
68,18_DRIONS-DB/images/image_020.jpg,[],"['no cataract', 'a disease']"
69,18_DRIONS-DB/images/image_036.jpg,[],"['no cataract', 'a disease']"
70,18_DRIONS-DB/images/image_041.jpg,[],"['no cataract', 'a disease']"
71,18_DRIONS-DB/images/image_078.jpg,[],"['no cataract', 'a disease']"
