,image,atributes,categories
0,34_Cataract/dataset/1_normal/NL_294.png,[],['normal']
1,34_Cataract/dataset/1_normal/NL_005.png,[],['normal']
2,34_Cataract/dataset/1_normal/NL_101.png,[],['normal']
3,34_Cataract/dataset/1_normal/NL_296.png,[],['normal']
4,34_Cataract/dataset/1_normal/NL_170.png,[],['normal']
5,34_Cataract/dataset/1_normal/NL_150.png,[],['normal']
6,34_Cataract/dataset/1_normal/NL_184.png,[],['normal']
7,34_Cataract/dataset/1_normal/NL_094.png,[],['normal']
8,34_Cataract/dataset/1_normal/NL_271.png,[],['normal']
9,34_Cataract/dataset/1_normal/NL_002.png,[],['normal']
10,34_Cataract/dataset/1_normal/NL_003.png,[],['normal']
11,34_Cataract/dataset/1_normal/NL_058.png,[],['normal']
12,34_Cataract/dataset/1_normal/NL_273.png,[],['normal']
13,34_Cataract/dataset/1_normal/NL_091.png,[],['normal']
14,34_Cataract/dataset/1_normal/NL_267.png,[],['normal']
15,34_Cataract/dataset/1_normal/NL_123.png,[],['normal']
16,34_Cataract/dataset/1_normal/NL_060.png,[],['normal']
17,34_Cataract/dataset/1_normal/NL_230.png,[],['normal']
18,34_Cataract/dataset/1_normal/NL_004.png,[],['normal']
19,34_Cataract/dataset/1_normal/NL_289.png,[],['normal']
20,34_Cataract/dataset/1_normal/NL_109.png,[],['normal']
21,34_Cataract/dataset/1_normal/NL_247.png,[],['normal']
22,34_Cataract/dataset/1_normal/NL_166.png,[],['normal']
23,34_Cataract/dataset/1_normal/NL_025.png,[],['normal']
24,34_Cataract/dataset/1_normal/NL_008.png,[],['normal']
25,34_Cataract/dataset/1_normal/NL_211.png,[],['normal']
26,34_Cataract/dataset/1_normal/NL_131.png,[],['normal']
27,34_Cataract/dataset/1_normal/NL_282.png,[],['normal']
28,34_Cataract/dataset/1_normal/NL_202.png,[],['normal']
29,34_Cataract/dataset/1_normal/NL_126.png,[],['normal']
30,34_Cataract/dataset/1_normal/NL_066.png,[],['normal']
31,34_Cataract/dataset/1_normal/NL_196.png,[],['normal']
32,34_Cataract/dataset/1_normal/NL_050.png,[],['normal']
33,34_Cataract/dataset/1_normal/NL_112.png,[],['normal']
34,34_Cataract/dataset/1_normal/NL_204.png,[],['normal']
35,34_Cataract/dataset/1_normal/NL_263.png,[],['normal']
36,34_Cataract/dataset/1_normal/NL_125.png,[],['normal']
37,34_Cataract/dataset/1_normal/NL_250.png,[],['normal']
38,34_Cataract/dataset/1_normal/NL_063.png,[],['normal']
39,34_Cataract/dataset/1_normal/NL_057.png,[],['normal']
40,34_Cataract/dataset/1_normal/NL_291.png,[],['normal']
41,34_Cataract/dataset/1_normal/NL_093.png,[],['normal']
42,34_Cataract/dataset/1_normal/NL_185.png,[],['normal']
43,34_Cataract/dataset/1_normal/NL_051.png,[],['normal']
44,34_Cataract/dataset/1_normal/NL_127.png,[],['normal']
45,34_Cataract/dataset/1_normal/NL_198.png,[],['normal']
46,34_Cataract/dataset/1_normal/NL_067.png,[],['normal']
47,34_Cataract/dataset/1_normal/NL_252.png,[],['normal']
48,34_Cataract/dataset/1_normal/NL_103.png,[],['normal']
49,34_Cataract/dataset/1_normal/NL_226.png,[],['normal']
