,image,atributes,categories
0,35_ScarDat/laser_scar_dataset_448/train/positive/646-126006.jpg,[],['laser scar']
1,35_ScarDat/laser_scar_dataset_448/train/positive/487-96762.jpg,[],['laser scar']
2,35_ScarDat/laser_scar_dataset_448/train/positive/20150104-19968-58396.jpg,[],['laser scar']
3,35_ScarDat/laser_scar_dataset_448/train/positive/20140606-13984-42486.jpg,[],['laser scar']
4,35_ScarDat/laser_scar_dataset_448/train/positive/20140625-14626-44354.jpg,[],['laser scar']
5,35_ScarDat/laser_scar_dataset_448/train/positive/576-106602.jpg,[],['laser scar']
6,35_ScarDat/laser_scar_dataset_448/train/positive/20141029-18405-53893.jpg,[],['laser scar']
7,35_ScarDat/laser_scar_dataset_448/train/positive/20140711-15124-45617.jpg,[],['laser scar']
8,35_ScarDat/laser_scar_dataset_448/train/positive/87-76706.jpg,[],['laser scar']
9,35_ScarDat/laser_scar_dataset_448/train/positive/139-80000.jpg,[],['laser scar']
10,35_ScarDat/laser_scar_dataset_448/train/positive/20141016-18047-52958.jpg,[],['laser scar']
11,35_ScarDat/laser_scar_dataset_448/train/positive/20140604-13890-42207.jpg,[],['laser scar']
12,35_ScarDat/laser_scar_dataset_448/train/positive/20150104-19972-58398.jpg,[],['laser scar']
13,35_ScarDat/laser_scar_dataset_448/train/positive/210-82454.jpg,[],['laser scar']
14,35_ScarDat/laser_scar_dataset_448/train/positive/47-73753.jpg,[],['laser scar']
15,35_ScarDat/laser_scar_dataset_448/train/positive/161-80681.jpg,[],['laser scar']
16,35_ScarDat/laser_scar_dataset_448/train/positive/20141015-17988-52803.jpg,[],['laser scar']
17,35_ScarDat/laser_scar_dataset_448/train/positive/20141022-18248-53450.jpg,[],['laser scar']
18,35_ScarDat/laser_scar_dataset_448/train/positive/20140717-15275-46004.jpg,[],['laser scar']
19,35_ScarDat/laser_scar_dataset_448/train/positive/123-78757.jpg,[],['laser scar']
20,35_ScarDat/laser_scar_dataset_448/train/positive/114-78095.jpg,[],['laser scar']
21,35_ScarDat/laser_scar_dataset_448/train/positive/20140528-13752-41726.jpg,[],['laser scar']
22,35_ScarDat/laser_scar_dataset_448/train/positive/210-83105.jpg,[],['laser scar']
23,35_ScarDat/laser_scar_dataset_448/train/positive/116-78472.jpg,[],['laser scar']
24,35_ScarDat/laser_scar_dataset_448/train/positive/20141015-17979-52785.jpg,[],['laser scar']
25,35_ScarDat/laser_scar_dataset_448/train/positive/161-80671.jpg,[],['laser scar']
26,35_ScarDat/laser_scar_dataset_448/train/positive/59-74183.jpg,[],['laser scar']
27,35_ScarDat/laser_scar_dataset_448/train/positive/464-94974.jpg,[],['laser scar']
28,35_ScarDat/laser_scar_dataset_448/train/positive/57-74068.jpg,[],['laser scar']
29,35_ScarDat/laser_scar_dataset_448/train/positive/183-137135.jpg,[],['laser scar']
30,35_ScarDat/laser_scar_dataset_448/train/positive/20141030-18441-53982.jpg,[],['laser scar']
31,35_ScarDat/laser_scar_dataset_448/train/positive/116-78482.jpg,[],['laser scar']
32,35_ScarDat/laser_scar_dataset_448/train/positive/202-82826.jpg,[],['laser scar']
33,35_ScarDat/laser_scar_dataset_448/train/positive/20150106-20044-58602.jpg,[],['laser scar']
34,35_ScarDat/laser_scar_dataset_448/train/positive/205-82496.jpg,[],['laser scar']
35,35_ScarDat/laser_scar_dataset_448/train/positive/107-77954.jpg,[],['laser scar']
36,35_ScarDat/laser_scar_dataset_448/train/positive/20141030-18466-54050.jpg,[],['laser scar']
37,35_ScarDat/laser_scar_dataset_448/train/positive/20141230-19924-58263.jpg,[],['laser scar']
38,35_ScarDat/laser_scar_dataset_448/train/positive/185-81466.jpg,[],['laser scar']
39,35_ScarDat/laser_scar_dataset_448/train/positive/20140625-14611-44317.jpg,[],['laser scar']
40,35_ScarDat/laser_scar_dataset_448/train/positive/20141015-17988-52804.jpg,[],['laser scar']
41,35_ScarDat/laser_scar_dataset_448/train/positive/20150106-20044-58603.jpg,[],['laser scar']
42,35_ScarDat/laser_scar_dataset_448/train/positive/139-79981.jpg,[],['laser scar']
43,35_ScarDat/laser_scar_dataset_448/train/positive/517-98685.jpg,[],['laser scar']
44,35_ScarDat/laser_scar_dataset_448/train/positive/20140528-13752-41727.jpg,[],['laser scar']
45,35_ScarDat/laser_scar_dataset_448/train/positive/20140604-13890-42203.jpg,[],['laser scar']
46,35_ScarDat/laser_scar_dataset_448/train/positive/576-106593.jpg,[],['laser scar']
47,35_ScarDat/laser_scar_dataset_448/train/positive/20150106-20044-58601.jpg,[],['laser scar']
48,35_ScarDat/laser_scar_dataset_448/train/positive/326-88094.jpg,[],['laser scar']
49,35_ScarDat/laser_scar_dataset_448/train/positive/20141027-18351-53747.jpg,[],['laser scar']
50,35_ScarDat/laser_scar_dataset_448/train/positive/487-96753.jpg,[],['laser scar']
51,35_ScarDat/laser_scar_dataset_448/train/positive/642-129973.jpg,[],['laser scar']
52,35_ScarDat/laser_scar_dataset_448/train/positive/614-112585.jpg,[],['laser scar']
53,35_ScarDat/laser_scar_dataset_448/train/positive/646-126007.jpg,[],['laser scar']
54,35_ScarDat/laser_scar_dataset_448/train/positive/20141231-19955-58347.jpg,[],['laser scar']
55,35_ScarDat/laser_scar_dataset_448/train/positive/526-99232.jpg,[],['laser scar']
56,35_ScarDat/laser_scar_dataset_448/train/positive/20141015-18006-52853.jpg,[],['laser scar']
57,35_ScarDat/laser_scar_dataset_448/train/positive/464-94965.jpg,[],['laser scar']
58,35_ScarDat/laser_scar_dataset_448/train/positive/20140611-14111-42887.jpg,[],['laser scar']
59,35_ScarDat/laser_scar_dataset_448/train/positive/183-81684.jpg,[],['laser scar']
60,35_ScarDat/laser_scar_dataset_448/train/positive/171-68118.jpg,[],['laser scar']
61,35_ScarDat/laser_scar_dataset_448/train/positive/684-131163.jpg,[],['laser scar']
62,35_ScarDat/laser_scar_dataset_448/train/positive/20140604-13890-42204.jpg,[],['laser scar']
