,image,atributes,categories
0,MM_Retinal_dataset_v1/FFA/figure01-05B.jpg,[],['Fundus image of the left eye without ruddy light in a normal person. Same person as Figure 1-5A']
1,MM_Retinal_dataset_v1/FFA/figure01-05C.jpg,[],['Autofluorescence image of the blue fundus of a normal human left eye. Same person as Figures 1-5B']
2,MM_Retinal_dataset_v1/FFA/figure01-05D.jpg,[],['Pre-FFA arterial image of the left eye of a normal person. Same person as Figures 1-5C']
3,MM_Retinal_dataset_v1/FFA/figure01-05E.jpg,[],['FFA arterial phase image of the left eye of a normal person. Same person as Figures 1-5D']
4,MM_Retinal_dataset_v1/FFA/figure01-05F.jpg,[],['Late FFA image of the left eye of a normal person. Same person as Figures 1-5E']
5,MM_Retinal_dataset_v1/FFA/figure01-06.jpg,[],"['Pre-FFA arterial (choroidal phase) in the left eye of a normal person. Choroidal background fluorescence, optic papillary fluorescence, and ciliary retinal artery filling are seen']"
6,MM_Retinal_dataset_v1/FFA/figure01-07A.jpg,[],['FFA arterial phase in the right eye of a normal person. The retinal arteries are seen to begin filling']
7,MM_Retinal_dataset_v1/FFA/figure01-07B.jpg,[],"['FFA arteriovenous phase in the right eye of a normal person. For the same eye as Figure 1-7A, characteristic venous laminar flow is seen']"
8,MM_Retinal_dataset_v1/FFA/figure01-07C.jpg,[],"['FFA venous phase in the right eye of a normal person. For Figure 1-7B same same eye, complete filling of the vein is seen']"
9,MM_Retinal_dataset_v1/FFA/figure01-07D.jpg,[],"['Late FFA fluorescence in the right eye of a normal person. For the same eye as Figure 1-7C, a gradual decrease in venous fluorescence is seen. Halo fluorescence around the optic papilla is evident']"
10,MM_Retinal_dataset_v1/FFA/figure01-08A.jpg,[],"['ICGA of the right eye of a normal person, showing choroidal artery filling']"
11,MM_Retinal_dataset_v1/FFA/figure01-08B.jpg,[],"['ICGA of the right eye in normal subjects. same eye as Fig. 1-8A, showing choroidal arterial filling']"
12,MM_Retinal_dataset_v1/FFA/figure01-09A.jpg,[],['Vortex vein shown by ICGA in normal subjects']
13,MM_Retinal_dataset_v1/FFA/figure01-09B.jpg,[],['Vortex vein shown by ICGA in normal subjects']
14,MM_Retinal_dataset_v1/FFA/figure02-03B.jpg,[],"['FFA51 sec 5 image of congenital optic papillary minor recess with retinal detachment in the left eye. Same patient as Figs. 2-3A. FFA shows pigment-masked fluorescence in the notochord, insignificant fluorescence leakage, and slight fluorescence accumulation in the retinal detachment region']"
15,MM_Retinal_dataset_v1/FFA/figure02-04B.jpg,[],['Congenital optic disc notch with retinal detachment without ruddy fundus image. Same patient as Figure 2-4A']
16,MM_Retinal_dataset_v1/FFA/figure02-05B.jpg,[],"['Congenital optic disc microconcavity with retinal detachment in the right eye FFA 1 min 41 sec 3 image. Shows the beginning of fluorescence accumulation in the temporal notch of the optic disc, same patient as Figure 2-5A']"
17,MM_Retinal_dataset_v1/FFA/figure02-05C.jpg,[],"['Congenital optic disc minor concavity with retinal detachment in the right eye FFA 21 min 20 sec 5 image. Shows significant fluorescence leakage in the temporal notch of the optic disc, same patient as Figure 2-5B']"
18,MM_Retinal_dataset_v1/FFA/figure02-06B.jpg,[],"['Late FFA image of a vitreous wart (buried) in the left optic papilla. Shows slight fluorescence leakage, tissue staining']"
19,MM_Retinal_dataset_v1/FFA/figure02-15C.jpg,[],"['Late image of familial vitreous warts FFA in both eyes. In the same patient as Figure 2-15A and B, a large number of punctate translucent fluorescent foci in the posterior pole are visible']"
20,MM_Retinal_dataset_v1/FFA/figure02-15D.jpg,[],"['Late image of familial vitreous warts FFA in both eyes. In the same patient as Figure 2-15A and B, a large number of punctate translucent fluorescent foci in the posterior pole are visible']"
21,MM_Retinal_dataset_v1/FFA/figure02-19B.jpg,[],"['Late FFA image of congenital retinal pigment epithelial hypertrophy in the right eye. In the same patient as Figure 2-19A, the lesion is seen to be fluorescently obscured with no fluorescence leakage']"
22,MM_Retinal_dataset_v1/FFA/figure02-22C.jpg,[],"['Fundus autofluorescence image of myelinated nerve fibers in the retina of the left eye, same patient as Figure 2-22B']"
23,MM_Retinal_dataset_v1/FFA/figure02-11B.jpg,[],['Congenital Optic Disc Defect: FFA Shows Slight Fluorescent Leakage at the Base of the Inferior Part of the Optic Papillary Defect']
24,MM_Retinal_dataset_v1/FFA/figure02-14B.jpg,[],['FFA image of petunia syndrome (left eye)']
25,MM_Retinal_dataset_v1/FFA/figure02-33B.jpg,[],['Ciliary retinal artery: FFA clearly shows the superior half of the retinal artery filling simultaneously with choroidal fluorescence for the ciliary retinal artery']
26,MM_Retinal_dataset_v1/FFA/figure02-37B.jpg,[],['FFA image of a choroidal nevus in the right eye. the FFA shows fluorescent masking of the choroid with indistinct borders']
27,MM_Retinal_dataset_v1/FFA/figure02-07B.jpg,[],['Autofluorescence image of a congenital optic papillary vitreous wart (dominant). Autofluorescence image of a dominant vitreous wart of the optic papilla showing marked enhancement of autofluorescence.']
28,MM_Retinal_dataset_v1/FFA/figure02-08B.jpg,[],"['Anterior optic papillary vessels with early photographs of FFA showing abnormal vascularization above the optic papilla consisting of arteries and veins, but predominantly veins.']"
29,MM_Retinal_dataset_v1/FFA/figure02-08C.jpg,[],"['Anterior optic papillary vessels with FFA: Late photographs of FFA show abnormal vascularization above the optic papilla consisting of arterioles and venules, but predominantly venules.']"
30,MM_Retinal_dataset_v1/FFA/figure02-22B.jpg,[],"['Left retina with myelinated nerve fibers without ruddy fundus image, same patient as Figure 2-22A']"
31,MM_Retinal_dataset_v1/FFA/figure02-26C.jpg,[],"['FFA, ICG 2 min 37 sec image of the right eye, temporal peripheral vascular abnormality is seen, no choroidal vascular abnormality is seen, same patient as Figure 2-26A and B']"
32,MM_Retinal_dataset_v1/FFA/figure02-26D.jpg,[],"['FFA, ICG 2 min 37 sec image of the right eye, temporal peripheral vascular abnormality is seen, no choroidal vascular abnormality is seen, same patient as Figure 2-26A and B']"
33,MM_Retinal_dataset_v1/FFA/figure02-26E.jpg,[],"['In the right eye, FFA, ICG 17 min 7 sec 1 image, temporal peripheral vascular occlusion, no perfusion zone formation, and no leakage from the choroidal vessels are seen, which is the same patient as in Figure 2-26C and D']"
34,MM_Retinal_dataset_v1/FFA/figure02-26F.jpg,[],"['In the right eye, FFA, ICG 17 min 7 sec 1 image, temporal peripheral vascular occlusion, no perfusion zone formation, and no leakage from the choroidal vessels are seen, which is the same patient as in Figure 2-26C and D']"
35,MM_Retinal_dataset_v1/FFA/figure02-26G.jpg,[],"['In the left eye, FFA and ICG 196 minute 10 image, temporal peripheral capillary dilatation and twisted deformation were seen, and no abnormality of choroidal vessels was seen, which was the same patient as Figure 2-26E and F']"
36,MM_Retinal_dataset_v1/FFA/figure02-26H.jpg,[],"['In the left eye, FFA and ICG 196 minute 10 image, temporal peripheral capillary dilatation and twisted deformation were seen, and no abnormality of choroidal vessels was seen, which was the same patient as Figure 2-26E and F']"
37,MM_Retinal_dataset_v1/FFA/figure02-26I.jpg,[],"['In the left eye, FFA, ICG 19:44:20 image, temporal peripheral capillary dilatation, twisting and distortion are seen, and no abnormality of the choroidal vessels are seen, which is the same patient as in Figures 2-26G and H']"
38,MM_Retinal_dataset_v1/FFA/figure02-26J.jpg,[],"['In the left eye, FFA, ICG 19:44:20 image, temporal peripheral capillary dilatation, twisting and distortion are seen, and no abnormality of the choroidal vessels are seen, which is the same patient as in Figures 2-26G and H']"
39,MM_Retinal_dataset_v1/FFA/figure02-36B.jpg,[],"['Choroidal hemorrhoids in the left eye without a ruddy fundus image. The color image shows a deep, ill-defined lesion that is not visible on the anamnesis fundus image.']"
40,MM_Retinal_dataset_v1/FFA/figure03-02C.jpg,[],"['Fundus autofluorescence image of the same patient as Fig. 3-2A and B. Significantly diminished autofluorescence near the vascular arch can be seen, and the weakly autofluorescent area of the macula surrounds a halo of strong autofluorescence']"
41,MM_Retinal_dataset_v1/FFA/figure03-02D.jpg,[],"['Fundus autofluorescence image of the same patient as Fig. 3-2A and B. Significantly diminished autofluorescence near the vascular arch can be seen, and the weakly autofluorescent area of the macula surrounds a halo of strong autofluorescence']"
42,MM_Retinal_dataset_v1/FFA/figure03-02E.jpg,[],"['Late FFA image, same patient as Fig. 3-2C and D, shows significant translucent fluorescence near the vascular arch']"
43,MM_Retinal_dataset_v1/FFA/figure03-02F.jpg,[],"['Late FFA image, same patient as Fig. 3-2C and D, shows significant translucent fluorescence near the vascular arch']"
44,MM_Retinal_dataset_v1/FFA/figure03-03C.jpg,[],"['In the same patient as Figures 3-3A and B, the FFA of the right eye is 9 minutes, 55 seconds, and 87 images, and the FFA of the left eye is 10 minutes, 25 seconds, and 40 images, which shows that most of the retinal pigment epithelium is atrophied, leaving only a solitary island in the macular region with translucent fluorescence']"
45,MM_Retinal_dataset_v1/FFA/figure03-03D.jpg,[],"['In the same patient as Figures 3-3A and B, the FFA of the right eye is 9 minutes, 55 seconds, and 87 images, and the FFA of the left eye is 10 minutes, 25 seconds, and 40 images, which shows that most of the retinal pigment epithelium is atrophied, leaving only a solitary island in the macular region with translucent fluorescence']"
